PLAYER,,,,,,,,,,,,,,,,,,,,,,,,
Russell Westbrook,24,7,0.46,0.64,1.1,9.6,8.7,1.9,0.6,4,20.7,7.9,17.1,3.9,6.1,-0.239305118,-0.795439344,-0.356239085,1.48360258,2.716407806,1.777134131,-0.106149023,-2.032173193,1.094804108
John Collins,25,5,0.52,0.71,1.8,8.8,1.6,1,2,1.4,17,6.4,12.2,2.4,3.4,0.468000649,-0.373295643,0.381534168,1.195139324,-0.618336799,0.058251038,2.032104671,0.449578945,0.475087868
Trae Young,26,6,0.46,0.81,3.2,4.2,7.5,1,0,4.5,24.2,8.2,17.7,4.7,5.8,-0.239305118,0.229766785,1.857080672,-0.463524393,2.152789,0.058251038,-1.022543463,-2.509433219,1.681022172
PLAYER,,,,,,,,,,,,,,,,,,,,,,,,
Donovan Mitchell,27,8,0.51,0.75,1.6,4.8,3.9,1.9,0.1,1.8,25.5,9.5,18.8,4.9,6.5,0.350116354,-0.132070672,0.17074181,-0.247176952,0.46193258,1.777134131,-0.869811056,0.067770924,1.898760311
Gordon Hayward,28,6,0.56,0.83,1.8,7.5,4.3,0.7,0.2,2.3,20.3,8,14.2,2.5,3,0.939537826,0.350379271,0.381534168,0.726386535,0.649805516,-0.514709993,-0.717078649,-0.409489103,1.027807758
OG Anunoby,29,7,0.58,0.33,1.9,6.6,1.9,1.4,1.7,1,12.7,5.3,9.1,0.3,0.9,1.175306415,-2.664932873,0.486930346,0.401865372,-0.477432097,0.82219908,1.573907451,0.831386966,-0.245122896
Bradley Beal,30,7,0.41,0.81,2.7,4.7,6.1,1.3,0.3,3.9,27,9.1,22.4,6,7.4,-0.828726589,0.229766785,1.330099778,-0.283234859,1.495233726,0.631212069,-0.564346243,-1.936721188,2.149996624
Jayson Tatum,31,6,0.42,0.74,3,7.5,2,1.7,0.7,2.2,21.3,8.2,19.3,2,2.7,-0.710842295,-0.192376915,1.646288314,0.726386535,-0.430463863,1.395160111,0.046583384,-0.314037097,1.195298633
Bojan Bogdanovic,32,7,0.5,0.9,2.9,4.4,2.3,1,0.6,2.9,20.1,7.3,14.7,2.7,3,0.23223206,0.772522971,1.540892135,-0.391408579,-0.289559162,0.058251038,-0.106149023,-0.982201135,0.994309583
Al Horford,33,7,0.46,0.71,1.7,7.1,3.9,1.1,1.1,1,17.1,6.9,15,1.7,2.4,-0.239305118,-0.373295643,0.276137989,0.582154907,0.46193258,0.249238049,0.657513011,0.831386966,0.491836956
Tobias Harris,34,7,0.5,0.77,1.4,8.6,2.9,1.3,0.3,2.3,19.7,7.4,14.7,3.4,4.4,0.23223206,-0.011458186,-0.040050548,1.12302351,-0.007749759,0.631212069,-0.564346243,-0.409489103,0.927313232
Derrick Rose,35,6,0.56,0.89,0.2,1.5,6.3,1,0.5,3.8,20.8,8.3,14.8,4,4.5,0.939537826,0.712216728,-1.304804695,-1.43708788,1.589170193,0.058251038,-0.258881429,-1.841269182,1.111553196
Aron Baynes,36,7,0.59,0.77,2.1,6,3.6,0.4,1,1.4,15,5.3,9,2.3,3,1.293190709,-0.011458186,0.697722704,0.185517931,0.321027879,-1.087671024,0.504780604,0.449578945,0.140106117
Nikola Jokic,37,7,0.46,0.77,1,9.7,5.9,1.1,0.6,3.1,14.9,5.7,12.4,2.4,3.1,-0.239305118,-0.011458186,-0.461635264,1.519660486,1.401297258,0.249238049,-0.106149023,-1.173105145,0.12335703
Thomas Bryant,38,7,0.49,0.82,0.9,9.9,2.3,0.7,1.6,1.7,13.6,5,10.3,2.7,3.3,0.114347766,0.290073028,-0.567031442,1.5917763,-0.289559162,-0.514709993,1.421175044,0.163222929,-0.094381108
Fred VanVleet,39,7,0.38,0.95,2.3,4,6.9,1.1,0.1,2.1,15.6,4.6,12.1,4.1,4.3,-1.182379473,1.074054186,0.908515062,-0.535640207,1.870979597,0.249238049,-0.869811056,-0.218585092,0.240600643
PLAYER,,,,,,,,,,,,,,,,,,,,,,,,
P.J. Tucker,40,8,0.55,1,2.5,7.1,2.1,1.3,0.4,1.5,11.5,4.3,7.8,0.5,0.5,0.821653532,1.3755854,1.11930742,0.582154907,-0.38349563,0.631212069,-0.411613836,0.35412694,-0.446111947
Josh Hart,41,7,0.47,0.95,2.3,7.6,1.1,1.4,0.6,1.6,13.6,4.7,10.1,1.9,2,-0.121420823,1.074054186,0.908515062,0.762444441,-0.853177968,0.82219908,-0.106149023,0.258674934,-0.094381108
Ricky Rubio,42,6,0.37,0.85,1,6.5,8.5,1.7,0,2.5,12.7,3.8,10.3,4,4.7,-1.300263767,0.470991757,-0.461635264,0.365807466,2.622471339,1.395160111,-1.022543463,-0.600393113,-0.245122896
